season,season_num,series_num,title,director,writer,code,viewership
3,13,56,Prodigy,Steve Shill,Dawn DeNoon & Lisa Marie Petersen,E2326,16030000.000000002
3,14,57,Counterfeit,Arthur W. Forney,Amanda Green,E2313,16760000.000000002
3,15,58,Execution,Alex Zakrzewski,Judith McCreary,E2325,17050000.0
3,16,59,Popular,Jean de Segonzac,Teleplay:Stephen Belber Story: Stephen Belber & Kathy Ebel,E2329,15800000.0
3,17,60,Surveillance,Steve Shill,Jeff Eckerle,E2328,16399999.999999998
3,18,61,Guilt,David Platt,Tara Butters & Michele Fazekas,E2332,14400000.0
3,19,62,Justice,Juan J. Campanella,Dawn DeNoon & Lisa Marie Petersen,E2331,16600000.000000002
3,20,63,Greed,Constantine Makris,Robert F. Campbell & Jonathan Greene,E2330,14220000.0
3,21,64,Denial,Steve Shill,Judith McCreary,E2334,16700000.0
3,22,65,Competence,Jud Taylor,"Teleplay: Robert F. Campbell & Jonathan Greene Story: Jeff Eckerle, Robert F. Campbell, & Jonathan Greene",E2335,17300000.0
3,23,66,Silence,Steve Shill,Patrick Harbinson,E3103,14270000.0
4,1,67,Chameleon,Jean de Segonzac,Michele Fazekas & Tara Butters,E3151,15600000.0
4,2,68,Deception,Constantine Makris,Michele Fazekas & Tara Butters,E3105,15200000.0
4,3,69,Vulnerable,Juan J. Campanella,Lisa Marie Petersen & Dawn DeNoon,E3104,15910000.0
4,4,70,Lust,Michael Fields,Amanda Green,E3102,15100000.0
4,5,71,Disappearing Acts,Alex Zakrzewski,Judith McCreary,E3101,16500000.0
4,6,72,Angels,Arthur W. Forney,Jonathan Greene & Robert F. Campbell,E3106,15300000.0
4,7,73,Dolls,Darnell Martin,Amanda Green,E3114,16800000.0
4,8,74,Waste,Donna Deitch,Lisa Marie Petersen & Dawn DeNoon,E3111,16100000.000000002
4,9,75,Juvenile,Constantine Makris,Michele Fazekas & Tara Butters,E3112,14500000.0
4,10,76,Resilience,Joyce Chopra,Patrick Harbinson,E3113,16200000.0
4,11,77,Damaged,Juan J. Campanella,Barbie Kligman,E3109,16600000.000000002
4,12,78,Risk,Juan J. Campanella,Jonathan Greene & Robert F. Campbell,E3115,16300000.0
4,13,79,Rotten,Constantine Makris,Judith McCreary,E3119,16100000.000000002
4,14,80,Mercy,David Platt,Christos N. Gage & Ruth Fletcher,E3118,15500000.0
4,15,81,Pandora,Alex Zakrzewski,Michele Fazekas & Tara Butters,E3120,15500000.0
4,16,82,Tortured,Steve Shill,Lisa Marie Petersen & Dawn DeNoon,E3121,14500000.0
4,17,83,Privilege,Jean de Segonzac,Patrick Harbinson,E3122,15000000.0
4,18,84,Desperate,David Platt,Amanda Green,E3124,
4,19,85,Appearances,Alex Zakrzewski,"Teleplay: Stephen Belber Story: Liz Friedman, Vanessa Place, & Stephen Belber",E3110,
4,20,86,Dominance,Steve Shill,Jonathan Greene & Robert F. Campbell,E3123,15800000.0
4,21,87,Fallacy,Juan J. Campanella,Teleplay: Barbie Kligman Story: Joshua Kotcheff & Barbie Kligman,E3117,14800000.0
4,22,88,Futility,Alex Zakrzewski,Michele Fazekas & Tara Butters,E3125,13500000.0
4,23,89,Grief,Constantine Makris,Adisa Iwa,E3116,14000000.0
4,24,90,Perfect,Rick Wallace,Jonathan Greene & Robert F. Campbell,E3126,12900000.0
